type,text
Tweet,Conmoción en Alemania: Joven futbolista quedó con muerte cerebral tras pelea en una cancha #CooperativaContigo https://t.co/PlhuusJ7RS https://t.co/ZNMQrwtBjt
Tweet,"#CooperativaContigo Vecinos de Lo Hermida mantuvieron tránsito cortado en Vespucio Sur en protesta por el costo de la vida: tras diálogo con Carabineros, se retiraron del lugar https://t.co/sqDKKpAC7G"
Tweet,[Fotos] Andriy Shevchenko y presidente Zelenski anunciaron amistoso para reunir fondos para Ucrania #CooperativaContigo https://t.co/Ic59Bld7du https://t.co/H8dLEeqEsn
Tweet,"Milad habló otra vez sobre ""impasse"" de los WhatsApp: No me daban ganas ni de salir a la calle #CooperativaContigo https://t.co/3o2rfSrrO6 https://t.co/y8hsH5ZJjt"
Tweet,[Video] Agustín Bouzat sobre duelo con Boca Juniors: Va a ser un partido lindo y definitorio #CooperativaContigo https://t.co/VgDkfuDiZe https://t.co/aUJlXsrc3r
Tweet,"Derecha arremete por ""obsesión con la educación sexual"" del ministro Ávila #CooperativaContigo https://t.co/bBtCVt9dsM https://t.co/SSWUT8zFPz"
Tweet,Ministra francesa de Deportes criticó mensaje político de Djokovic: No tiene que repetirse #CooperativaContigo https://t.co/VfcmWakDg6 https://t.co/laWbfzpF4I
Tweet,"[Radio en vivo📻] En El Diario de Cooperativa conversamos con el alcalde de Chiguayante, José Antonio Rivas: https://t.co/WoFHXvthxL #CooperativaContigo https://t.co/crutFjNsnM"
Reply,"[En vivo📻] Alcalde de Chiguayante, José Antonio Rivas, por la opción de un subsidio para el gas: Íbamos a seguir alimentando la mala conducta de las tres empresas https://t.co/WoFHXvthxL #CooperativaContigo"
Reply,"[En vivo📻] Alcalde de Chiguayante, José Antonio Rivas: Sirvió el ingreso de ENAP al mercado; debe permanecer en el negocio porque esto está generando muchos beneficios para todos los chilenos https://t.co/WoFHXvthxL #CooperativaContigo"
Reply,"[📻] Alcalde de Chiguayante: Lo que extraña es que los parlamentarios estén haciendo este análisis porque no lo incluyen dentro de un proceso de mercado, y lo que se cuenta de los 117 mil que costaron siempre no es así, son inversiones de inicio #CooperativaContigo"
Tweet,#CooperativaContigo Vecinos de Lo Hermida mantienen tránsito cortado en Vespucio Sur en protesta por el costo de la vida: https://t.co/sqDKKpAC7G
Reply,"[En vivo📻] Alcalde de Chiguayante: Nuestra gente padeció esos precios y nadie, ningún parlamentario de derecha alzó la voz; fuimos los alcaldes los que nos paramos a decir basta con esto, que es posible vender el gas con precio más asequible #CooperativaContigo"
Tweet,"Tricel desestimó renuncia de Aldo Sanhueza, consejero electo acusado de abuso sexual #CooperativaContigo https://t.co/gHstGoqHPQ https://t.co/C5V9uKlYfA"
Tweet,Nicolás Jarry llevó su positivo momento al dobles de #RolandGarros #CooperativaContigo https://t.co/beDgDuARv8 https://t.co/NbC4R6lw55
Tweet,"Gaspar Domínguez: ""Si el plebiscito fuera de la propuesta de la Comisión de Expertos, yo aprobaría"" #CooperativaContigo https://t.co/oUkNLMYANq https://t.co/0aiUs3hbMN"
Tweet,#CooperativaContigo Anteproyecto listo: La Comisión Experta despachó el borrador constitucional https://t.co/3FI8fPEF79 https://t.co/I2sUNRzztj
Tweet,¡Miércoles con final europea y Mundial sub 20! Revisa cuándo y dónde ver los duelos destacados de este 31 de mayo en la Agenda de TV de https://t.co/w1jlkOj1wr https://t.co/hWMAQIsS8v
Tweet,Sevilla y Roma definen el título de la Europa League en Budapest #UEL #CooperativaContigo https://t.co/B6pmotYFws https://t.co/lnlhfuro8J
Tweet,Exsubsecretario recordó que ministra Jara lo reprendió frente a 30 personas por desahuciar cuentas nocionales #CooperativaContigo https://t.co/4Tp6tJNSJ3 https://t.co/uijGNgNCPX
Tweet,INDH expresó preocupación por apoyo de más de un tercio de los chilenos a la dictadura de Pinochet #CooperativaContigo https://t.co/vHSwFEMga0 https://t.co/HUWKCDZaME
Tweet,"Desempleo subió en un año: 8,7% en el trimestre móvil febrero-abril #CooperativaContigo https://t.co/6oZu2Uyrcl https://t.co/CXk5pCNc2k"
Tweet,"Exsuperintendentes proponen compensaciones ""más razonales"" para cumplir el fallo de las isapres #CooperativaContigo https://t.co/sRbxWOxMCI https://t.co/7NRHbZ4uYc"
Tweet,"[Audio] ""Con la tranquilidad del deber cumplido"": Fundición Ventanas inició su cierre este martes #CooperativaContigo https://t.co/1hNXZMd6yg https://t.co/pVzyOGqvJQ"
Tweet,"Latorre pidió elevar la ""proactividad"" frente a la contaminación en Quintero #CooperativaContigo https://t.co/P4GDfJt5jI https://t.co/cIzgbTYJT1"
Tweet,#CooperativaContigo Países Bajos aprueba un nuevo sistema de pensiones tras 16 años de debates: https://t.co/CCC2k9Xo6B https://t.co/myHBBoURH4
Tweet,PDI confirmó que cadáver encontrado en Lirquén era de joven desaparecida #CooperativaRegiones https://t.co/BQVkqHYn6w https://t.co/D5V9fIisGQ
Tweet,#CooperativaContigo Izquierdista alemana irá a la cárcel por ataques en serie contra neonazis: https://t.co/9WqhBp5xor https://t.co/N0EB5fuPno
Tweet,#CooperativaContigo Moscú denuncia nuevas incursiones de drones a dos regiones rusas: https://t.co/IGSalaewDK https://t.co/dFGRpwykG4
Tweet,Energías solar y eólica representaron el 32% de la matriz chilena en 2022 #CooperativaContigo https://t.co/piS829XIQi https://t.co/Kbf8lzeIdw
Tweet,Cohete espacial lanzado por Corea del Norte se estrelló en el mar Amarillo #CooperativaContigo https://t.co/vPGdD7T9GD https://t.co/hgD7rbkXBB
