type,text
Reply,"@1_sandracortes @albertolarrains Hola, el servicio está disponible solo entre Tobalaba / Vicente Valdés y Sotero del Río / Plaza de Puente Alto, Sandra"
Reply,"@IsaRebolledo Hola, el servicio está disponible solo entre Tobalaba / Vicente Valdés y Sotero del Río / Plaza de Puente Alto, Isa"
Tweet,15:48 hrs. Desde este momento el servicio en #L4 se encuentra disponible solo entre Tobalaba / Vicente Valdés y Sótero del Río /  Plaza de Puente Alto por persona en la vía. #AlertaMetro
Tweet,"15:50 hrs. Servicio NO disponible en #L4 entre Rojas Magallanes y Elisa Correa por persona en la vía. 

🔴 Combinación NO disponible en Vicente Valdés hacia Plaza de Puente Alto."
Reply,@CameliaPavez ❤️❤️🚇🚇
Reply,@javvisi Dimos aviso!
Reply,"@isidoraaps Todas las estaciones cierran a las 23 hrs, Isidora."
Reply,@Jazpalmajacobs Estamos para ayudar. Gracias por tu comprensión.
Reply,"@Baby_Cvmi @Jazpalmajacobs Hola, Cami, todas las combinaciones están habilitadas."
Reply,"@Jazpalmajacobs Hola, en estos momentos, las combinaciones están habilitadas. Slds."
Reply,"@javierI32072840 Hola, Javier. El tren continuó sin servicio y estamos trabajando para restablecer la circulación habitual. Las combinaciones están habilitadas."
Reply,"@Una_Karencilla Sí, está funcionando con normalidad."
Reply,"@JFloresv__ Hola, el tren que presentó falla continuó sin servicio. Estamos trabajando para normalizar el servicio.  Combinaciones están disponibles."
Reply,"@Jazpalmajacobs Hola, no tenemos suspensión de servicio. Hay un retraso en la frecuencia de L5 por una falla técnica que presentó un tren en Rodrigo de Araya. Estamos trabajando para normalizar el servicio."
Reply,"@rodrigopg69 Hola,  tenemos un retraso en la frecuencia de L5 por una falla técnica en un tren en Rodrigo de Araya. Estamos trabajando para normalizar el servicio."
Reply,"@Nico_Guerrero24 Hola, en Rodrigo de Araya tenemos un tren detenido debido a una falla técnica. Estamos trabajando para restablecer el servicio."
Reply,"@xrovale Hola, tenemos personal trabajando para normalizar la circulación de trenes."
Reply,"@Constan61007592 Hola, en Rodrigo de Araya tenemos un tren detenido debido a una falla técnica. Estamos trabajando para restablecer el servicio. Slds."
Reply,"@nacho_arratia Hola, en Rodrigo de Araya tenemos un tren detenido debido a una falla técnica. Estamos trabajando para restablecer el servicio. Slds."
Reply,"@pasto_seco Hola, efectivamente, en Rodrigo de Araya tenemos un tren detenido debido a una falla técnica. Estamos trabajando para restablecer el servicio. Slds."
Reply,"@nexoverr Hola, en Rodrigo de Araya tenemos un tren detenido dibido a una falla técnica. Estamos trabajando para restablecer el servicio. Slds."
Reply,"@Constan61007592 Hola, en Rodrigo de Araya tenemos un tren detenido porque presentó una falla técnica. Estamos trabajando para restablecer el servicio. Slds."
Reply,"@3locu3nt3 Hola, Fabián, ¿te encuentras en estos momentos en el lugar ?"
Reply,"@cnunezch Hola, Katy, puedes bajarte en Hernando de Magallanes"
Reply,"@lafernafer Hola, María, estos trenes forman parte de la operación,  sin estos disminuiría la oferta del transporte. Slds."
Reply,"@AbarcaaGZ Gracias, Pablo. Daremos aviso al equipo a cargo para que se revise lo ocurrido. Slds."
Retweet,"#PuenteAlto: Carabineros de la 38ª Comisaría despliegan servicios de orden y seguridad en las estaciones del @metrodesantiago, previniendo delitos y aumentando la sensación de seguridad. #LaPrevenciónEsNuestraEsencia https://t.co/WNp4zpC1eF"
Reply,"@AbarcaaGZ Hola, Pablo, en qué andén ocurre esto."
Reply,"@Angymachuca37 Hola, Angy, tratamos de responder todos los mensajes posibles. Sentimos no hacerlo antes. Por favor, déjanos todos los detalles de tu caso para que sea revisado por el área a cargo y puedan darte respuesta https://t.co/myLsd0aUDj"
Tweet,"¡Buenos días! #TodaLaRed está disponible para recibirlos en esta nueva jornada. Estamos aquí para mantenerlos informados, así que no duden en enviarnos sus mensajes.

¡Que tengan un excelente día! ❤️✨ https://t.co/Inn5Iuf7qG"
Reply,@metrosp_oficial Bom dia! Tenha um excelente dia de trabalho. 😊
Tweet,"¡Atención! 👀Inicia la hora punta y #TodaLaRed está disponible. 

Por favor, al abordar el tren, recuerda quitarte la mochila para liberar espacio y asegurar un viaje 🚇más cómodo para todos. https://t.co/BptIJnLgyR"
Reply,"@coty69 Hola, José, por favor, envíanos todos los detalles del caso para revisarlo con el área a cargo en https://t.co/myLsd0aUDj"
Reply,@kathycubillos @biobio ¡Gracias a ustedes por la colaboración!
Reply,"@AgfVictor @afv0621 @biobio Hola, permanecimos detenidos en Quinta Normal por un tren que presentó un problema técnico. Los trenes ya retomaron su circulaciones. Lamentamos los inconvenientes. Slds."
Reply,"@kathycubillos @biobio Hola, permanecimos detenidos en Quinta Normal por un tren que presentó un problema técnico. Los trenes ya retomaron su circulaciones. Lamentamos los inconvenientes. Slds."
Reply,"@Javieri59796268 Hola, permanecimos detenidos en Quinta Normal por un tren que presentó un problema técnico. Los trenes ya retomaron su circulaciones. Lamentamos los inconvenientes. Slds."
Reply,"@Halcon_PteAlto Hola, permanecimos detenidos en Quinta Normal por un tren que presentó un problema técnico. Los trenes ya retomaron su circulaciones. Lamentamos los inconvenientes. Slds."
Reply,"@Emanuel01389624 Hola, permanecimos detenidos en Quinta Normal por un tren que presentó un problema técnico. Los trenes ya retomaron su circulaciones. Lamentamos los inconvenientes. Slds."
Reply,"@lasrosasccs Hola, en Quinta Normal permanecimos detenidos más tiempo del habitual por un tren que presentó un problema técnico. El servicio de trenes ya fue restablecido. Lamentamos los inconvenientes. Slds."
